UID          PID    PPID  C STIME TTY          TIME CMD
jake         950     933  0 12:39 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
jake         951     933  0 12:39 ?        00:00:00 /usr/bin/wireplumber
jake         952     933  0 12:39 ?        00:00:00 /usr/bin/pipewire-pulse
jake         953     933  0 12:39 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
jake         955     933  0 12:39 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
jake         981     926  0 12:39 ?        00:00:00 xfce4-session
jake        1026     981  0 12:39 ?        00:00:00 /usr/bin/ssh-agent x-session-manager
jake        1036     933  0 12:39 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
jake        1043    1036  0 12:39 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
jake        1055     933  0 12:39 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
jake        1067     933  0 12:39 ?        00:00:00 /usr/bin/gpg-agent --supervised
jake        1069     981  0 12:39 ?        00:00:04 xfwm4
jake        1073     933  0 12:39 ?        00:00:00 /usr/libexec/gvfsd
jake        1079     933  0 12:39 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
jake        1103     981  0 12:39 ?        00:00:00 xfsettingsd
root        1107       1  0 12:39 ?        00:00:00 /usr/libexec/upowerd
jake        1113     981  0 12:39 ?        00:00:01 xfce4-panel
jake        1118     981  0 12:39 ?        00:00:00 Thunar --daemon
jake        1124     981  0 12:39 ?        00:00:01 xfdesktop
jake        1128    1113  0 12:39 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 16777223 whiskermenu Whisker Menu Show a menu to easily access installed applications
jake        1132    1113  0 12:39 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libsystray.so 14 16777229 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
jake        1133    1113  0 12:39 ?        00:00:16 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libgenmon.so 15 16777230 genmon Generic Monitor Show output of a command.
jake        1134    1113  0 12:39 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 16 16777231 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
jake        1135    1113  0 12:39 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 17 16777232 notification-plugin Notification Plugin Notification plugin for the Xfce panel
jake        1136    1113  0 12:39 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 18 16777233 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
jake        1146    1113  0 12:39 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libactions.so 2200 16777234 actions Action Buttons Log out, lock or other system actions
jake        1161     933  0 12:39 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/notifyd/xfce4-notifyd
jake        1172     981  0 12:39 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
jake        1180       1  0 12:39 ?        00:00:00 xcape -e Super_L Control_L Escape
jake        1183     981  0 12:39 ?        00:00:00 nm-applet
jake        1188     981  0 12:39 ?        00:00:00 xfce4-power-manager
jake        1209     981  0 12:39 ?        00:00:00 /usr/bin/python3 /usr/bin/blueman-applet
jake        1214     981  0 12:39 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
jake        1216     981  0 12:39 ?        00:00:00 xiccd
jake        1217       1  0 12:39 ?        00:00:00 /usr/bin/spice-vdagent
jake        1227     981  0 12:39 ?        00:00:00 light-locker
jake        1257     933  0 12:39 ?        00:00:00 /usr/libexec/dconf-service
colord      1258       1  0 12:39 ?        00:00:00 /usr/libexec/colord
root        1259       1  0 12:39 ?        00:00:02 /usr/sbin/spice-vdagentd
jake        1344     933  0 12:39 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
root        1354       1  0 12:39 ?        00:00:00 /usr/libexec/udisks2/udisksd
jake        1365     933  0 12:39 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
jake        1373     933  0 12:39 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
jake        1381     933  0 12:39 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
jake        1386     933  0 12:39 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
jake        1406    1073  0 12:39 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
jake        1416     933  0 12:39 ?        00:00:00 /usr/libexec/gvfsd-metadata
jake        1438     933  0 12:39 ?        00:00:00 /usr/libexec/bluetooth/obexd
root       11847       2  0 13:00 ?        00:00:00 [kworker/u8:1-events_unbound]
jake       14401       1  0 13:05 ?        00:00:02 /usr/bin/qterminal
jake       14404   14401  0 13:05 pts/0    00:00:03 /usr/bin/zsh
jake       20275   14404  0 13:16 pts/0    00:00:00 grep --color=auto work
root       21133       2  0 13:18 ?        00:00:00 [kworker/2:0-mm_percpu_wq]
root       26380       2  0 13:28 ?        00:00:00 [kworker/0:1-events]
root       28325       2  0 13:32 ?        00:00:00 [kworker/1:2-events]
root       28566       2  0 13:33 ?        00:00:00 [kworker/u8:3-flush-254:0]
root       30528       2  0 13:36 ?        00:00:00 [kworker/0:0-events]
root       34913       2  0 13:45 ?        00:00:00 [kworker/3:1]
root       36013       2  0 13:47 ?        00:00:00 [kworker/0:2-events]
jake       36269     933  0 13:48 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/xfconf/xfconfd
jake       36728       1  0 13:49 ?        00:00:00 /usr/bin/qterminal
jake       36731   36728  0 13:49 pts/1    00:00:00 /usr/bin/zsh
root       36926       2  0 13:49 ?        00:00:00 [kworker/0:3-events]
jake       38113   36731  0 13:51 pts/1    00:00:00 ps -ef
